# Star Number Kenya Inventory - Part 2

| STAR NUMBER | STATUS | CATEGORY |
| *1415 | Available  | Silver |
| *1416 | Available  | Silver |
| *1417 | Available  | Silver |
| *1418 | Available  | Silver |
| *1419 | Available  | Silver |
| *1420 | Available  | Silver |
| *1421 | Available  | Silver |
| *1422 | Available  | Silver |
| *1423 | Available  | Silver |
| *1424 | Available  | Silver |
| *1425 | Available  | Silver |
| *1426 | Available  | Silver |
| *1427 | Available  | Silver |
| *1428 | Available  | Silver |
| *1429 | Available  | Silver |
| *1430 | Available  | Silver |
| *1431 | Available  | Silver |
| *1432 | Available  | Silver |
| *1433 | Available  | Silver |
| *1434 | Available  | Silver |
| *1435 | Available  | Silver |
| *1436 | Available  | Silver |
| *1437 | Available  | Silver |
| *1438 | Available  | Silver |
| *1439 | Available  | Silver |
| *1440 | Available  | Silver |
| *1441 | Available  | Gold |
| *1442 | Available  | Silver |
| *1443 | Available  | Silver |
| *1444 | Available  | Platinum  |
| *1445 | Available  | Silver |
| *1446 | Available  | Silver |
| *1447 | Available  | Silver |
| *1448 | Available  | Silver |
| *1449 | Available  | Silver |
| *1450 | Available  | Silver |
| *1451 | Available  | Silver |
| *1452 | Available  | Silver |
| *1453 | Available  | Silver |
| *1454 | Available  | Silver |
| *1455 | Available  | Silver |
| *1456 | Available  | Silver |
| *1457 | Available  | Silver |
| *1458 | Available  | Silver |
| *1459 | Available  | Silver |
| *1460 | Available  | Silver |
| *1461 | Available  | Silver |
| *1462 | Available  | Silver |
| *1463 | Available  | Silver |
| *1464 | Available  | Silver |
| *1465 | Available  | Silver |
| *1466 | Available  | Silver |
| *1467 | Available  | Silver |
| *1468 | Available  | Silver |
| *1469 | Available  | Silver |
| *1470 | Available  | Silver |
| *1471 | Available  | Silver |
| *1472 | Available  | Silver |
| *1473 | Available  | Silver |
| *1474 | Available  | Silver |
| *1475 | Available  | Silver |
| *1476 | Available  | Silver |
| *1477 | Available  | Silver |
| *1478 | Available  | Silver |
| *1479 | Available  | Silver |
| *1480 | Available  | Silver |
| *1481 | Available  | Silver |
| *1482 | Available  | Silver |
| *1483 | Available  | Silver |
| *1484 | Available  | Silver |
| *1485 | Available  | Silver |
| *1486 | Available  | Silver |
| *1487 | Available  | Silver |
| *1488 | Available  | Silver |
| *1489 | Available  | Silver |
| *1490 | Available  | Silver |
| *1491 | Available  | Silver |
| *1492 | Available  | Silver |
| *1493 | Available  | Silver |
| *1494 | Available  | Silver |
| *1495 | Available  | Silver |
| *1496 | Available  | Silver |
| *1497 | Available  | Silver |
| *1498 | Available  | Silver |
| *1499 | Available  | Silver |
| *1500 | Available  | Platinum  |
| *1501 | Available  | Silver |
| *1502 | Available  | Silver |
| *1503 | Available  | Silver |
| *1504 | Available  | Silver |
| *1505 | Available  | Silver |
| *1506 | Available  | Silver |
| *1507 | Available  | Silver |
| *1508 | Available  | Silver |
| *1509 | Available  | Silver |
| *1510 | Available  | Silver |
| *1511 | Available  | Silver |
| *1512 | Available  | Silver |
| *1513 | Available  | Silver |
| *1514 | Available  | Silver |
| *1515 | Available  | Platinum  |
| *1516 | Available  | Silver |
| *1517 | Available  | Silver |
| *1518 | Available  | Silver |
| *1519 | Available  | Silver |
| *1520 | Available  | Silver |
| *1521 | Available  | Silver |
| *1522 | Available  | Silver |
| *1523 | Available  | Silver |
| *1524 | Available  | Silver |
| *1525 | Available  | Silver |
| *1526 | Available  | Silver |
| *1527 | Available  | Silver |
| *1528 | Available  | Silver |
| *1529 | Available  | Silver |
| *1530 | Available  | Silver |
| *1531 | Available  | Silver |
| *1532 | Available  | Silver |
| *1533 | Available  | Silver |
| *1534 | Available  | Silver |
| *1535 | Available  | Silver |
| *1536 | Available  | Silver |
| *1537 | Available  | Silver |
| *1538 | Available  | Silver |
| *1539 | Available  | Silver |
| *1540 | Available  | Silver |
| *1541 | Available  | Silver |
| *1542 | Available  | Silver |
| *1543 | Available  | Silver |
| *1544 | Available  | Silver |
| *1545 | Available  | Silver |
| *1546 | Available  | Silver |
| *1547 | Available  | Silver |
| *1548 | Available  | Silver |
| *1549 | Available  | Silver |
| *1550 | Available  | Silver |
| *1551 | Available  | Gold |
| *1552 | Available  | Silver |
| *1553 | Available  | Silver |
| *1554 | Available  | Silver |
| *1555 | Available  | Platinum  |
| *1556 | Available  | Silver |
| *1557 | Available  | Silver |
| *1558 | Available  | Silver |
| *1559 | Available  | Silver |
| *1560 | Available  | Silver |
| *1561 | Available  | Silver |
| *1562 | Available  | Silver |
| *1563 | Available  | Silver |
| *1564 | Available  | Silver |
| *1565 | Available  | Silver |
| *1566 | Available  | Silver |
| *1567 | Available  | Silver |
| *1568 | Available  | Silver |
| *1569 | Available  | Silver |
| *1570 | Available  | Silver |
| *1571 | Available  | Silver |
| *1572 | Available  | Silver |
| *1573 | Available  | Silver |
| *1574 | Available  | Silver |
| *1575 | Available  | Silver |
| *1576 | Available  | Silver |
| *1577 | Available  | Silver |
| *1578 | Available  | Silver |
| *1579 | Available  | Silver |
| *1580 | Available  | Silver |
| *1581 | Available  | Silver |
| *1582 | Available  | Silver |
| *1583 | Available  | Silver |
| *1584 | Available  | Silver |
| *1585 | Available  | Silver |
| *1586 | Available  | Silver |
| *1587 | Available  | Silver |
| *1588 | Available  | Silver |
| *1589 | Available  | Silver |
| *1590 | Available  | Silver |
| *1591 | Available  | Silver |
| *1592 | Available  | Silver |
| *1593 | Available  | Silver |
| *1594 | Available  | Silver |
| *1595 | Available  | Silver |
| *1596 | Available  | Silver |
| *1597 | Available  | Silver |
| *1598 | Available  | Silver |
| *1599 | Available  | Silver |
| *1600 | Available  | Platinum  |
| *1601 | Available  | Silver |
| *1602 | Available  | Silver |
| *1603 | Available  | Silver |
| *1604 | Available  | Silver |
| *1605 | Available  | Silver |
| *1606 | Available  | Silver |
| *1607 | Available  | Silver |
| *1608 | Available  | Silver |
| *1609 | Available  | Silver |
| *1610 | Available  | Silver |
| *1611 | Available  | Silver |
| *1612 | Available  | Silver |
| *1613 | Available  | Silver |
| *1614 | Available  | Silver |
| *1615 | Available  | Silver |
| *1616 | Available  | Platinum  |
| *1617 | Available  | Silver |
| *1618 | Available  | Silver |
| *1619 | Available  | Silver |
| *1620 | Available  | Silver |
| *1621 | Available  | Silver |
| *1622 | Available  | Silver |
| *1623 | Available  | Silver |
| *1624 | Available  | Silver |
| *1625 | Available  | Silver |
| *1626 | Available  | Silver |
| *1627 | Available  | Silver |
| *1628 | Available  | Silver |
| *1629 | Available  | Silver |
| *1630 | Available  | Silver |
| *1631 | Available  | Silver |
| *1632 | Available  | Silver |
| *1633 | Available  | Silver |
| *1634 | Available  | Silver |
| *1635 | Available  | Silver |
| *1636 | Available  | Silver |
| *1637 | Available  | Silver |
| *1638 | Available  | Silver |
| *1639 | Available  | Silver |
| *1640 | Available  | Silver |
| *1641 | Available  | Silver |
| *1642 | Available  | Silver |
| *1643 | Available  | Silver |
| *1644 | Available  | Silver |
| *1645 | Available  | Silver |
| *1646 | Available  | Silver |
| *1647 | Available  | Silver |
| *1648 | Available  | Silver |
| *1649 | Available  | Silver |
| *1650 | Available  | Silver |
| *1651 | Available  | Silver |
| *1652 | Available  | Silver |
| *1653 | Available  | Silver |
| *1654 | Available  | Silver |
| *1655 | Available  | Silver |
| *1656 | Available  | Silver |
| *1657 | Available  | Silver |
| *1658 | Available  | Silver |
| *1659 | Available  | Silver |
| *1660 | Available  | Silver |
| *1661 | Available  | Gold |
| *1662 | Available  | Silver |
| *1663 | Available  | Silver |
| *1664 | Available  | Silver |
| *1665 | Available  | Silver |
| *1666 | Available  | Platinum  |
| *1667 | Available  | Silver |
| *1668 | Available  | Silver |
| *1669 | Available  | Silver |
| *1670 | Available  | Silver |
| *1671 | Available  | Silver |
| *1672 | Available  | Silver |
| *1673 | Available  | Silver |
| *1674 | Available  | Silver |
| *1675 | Available  | Silver |
| *1676 | Available  | Silver |
| *1677 | Available  | Silver |
| *1678 | Available  | Silver |
| *1679 | Available  | Silver |
| *1680 | Available  | Silver |
| *1681 | Available  | Silver |
| *1682 | Available  | Silver |
| *1683 | Available  | Silver |
| *1684 | Available  | Silver |
| *1685 | Available  | Silver |
| *1686 | Available  | Silver |
| *1687 | Available  | Silver |
| *1688 | Available  | Silver |
| *1689 | Available  | Silver |
| *1690 | Available  | Silver |
| *1691 | Available  | Silver |
| *1692 | Available  | Silver |
| *1693 | Available  | Silver |
| *1694 | Available  | Silver |
| *1695 | Available  | Silver |
| *1696 | Available  | Silver |
| *1697 | Available  | Silver |
| *1698 | Available  | Silver |
| *1699 | Available  | Silver |
| *1700 | Available  | Platinum  |
| *1701 | Available  | Silver |
| *1702 | Available  | Silver |
| *1703 | Available  | Silver |
| *1704 | Available  | Silver |
| *1705 | Available  | Silver |
| *1706 | Available  | Silver |
| *1707 | Available  | Silver |
| *1708 | Available  | Silver |
| *1709 | Available  | Silver |
| *1710 | Available  | Silver |
| *1711 | Available  | Silver |
| *1712 | Available  | Silver |
| *1713 | Available  | Silver |
| *1714 | Available  | Silver |
| *1715 | Available  | Silver |
| *1716 | Available  | Silver |
| *1717 | Available  | Platinum  |
| *1718 | Available  | Silver |
| *1719 | Available  | Silver |
| *1720 | Available  | Silver |
| *1721 | Available  | Silver |
| *1722 | Available  | Silver |
| *1723 | Available  | Silver |
| *1724 | Available  | Silver |
| *1725 | Available  | Silver |
| *1726 | Available  | Silver |
| *1727 | Available  | Silver |
| *1728 | Available  | Silver |
| *1729 | Available  | Silver |
| *1730 | Available  | Silver |
| *1731 | Available  | Silver |
| *1732 | Available  | Silver |
| *1733 | Available  | Silver |
| *1734 | Available  | Silver |
| *1735 | Available  | Silver |
| *1736 | Available  | Silver |
| *1737 | Available  | Silver |
| *1738 | Available  | Silver |
| *1739 | Available  | Silver |
| *1740 | Available  | Silver |
| *1741 | Available  | Silver |
| *1742 | Available  | Silver |
| *1743 | Available  | Silver |
| *1744 | Available  | Silver |
| *1745 | Available  | Silver |
| *1746 | Available  | Silver |
| *1747 | Available  | Silver |
| *1748 | Available  | Silver |
| *1749 | Available  | Silver |
| *1750 | Available  | Silver |
| *1751 | Available  | Silver |
| *1752 | Available  | Silver |
| *1753 | Available  | Silver |
| *1754 | Available  | Silver |
| *1755 | Available  | Silver |
| *1756 | Available  | Silver |
| *1757 | Available  | Silver |
| *1758 | Available  | Silver |
| *1759 | Available  | Silver |
| *1760 | Available  | Silver |
| *1761 | Available  | Silver |
| *1762 | Available  | Silver |
| *1763 | Available  | Silver |
| *1764 | Available  | Silver |
| *1765 | Available  | Silver |
| *1766 | Available  | Silver |
| *1767 | Available  | Silver |
| *1768 | Available  | Silver |
| *1769 | Available  | Silver |
| *1770 | Available  | Silver |
| *1771 | Available  | Gold |
| *1772 | Available  | Silver |
| *1773 | Available  | Silver |
| *1774 | Available  | Silver |
| *1775 | Available  | Silver |
| *1776 | Available  | Silver |
| *1777 | Available  | Platinum  |
| *1778 | Available  | Silver |
| *1779 | Available  | Silver |
| *1780 | Available  | Silver |
| *1781 | Available  | Silver |
| *1782 | Available  | Silver |
| *1783 | Available  | Silver |
| *1784 | Available  | Silver |
| *1785 | Available  | Silver |
| *1786 | Available  | Silver |
| *1787 | Available  | Silver |
| *1788 | Available  | Silver |
| *1789 | Available  | Silver |
| *1790 | Available  | Silver |
| *1791 | Available  | Silver |
| *1792 | Available  | Silver |
| *1793 | Available  | Silver |
| *1794 | Available  | Silver |
| *1795 | Available  | Silver |
| *1796 | Available  | Silver |
| *1797 | Available  | Silver |
| *1798 | Available  | Silver |
| *1799 | Available  | Silver |
| *1800 | Available  | Platinum  |
| *1801 | Available  | Silver |
| *1802 | Available  | Silver |
| *1803 | Available  | Silver |
| *1804 | Available  | Silver |
| *1805 | Available  | Silver |
| *1806 | Available  | Silver |
| *1807 | Available  | Silver |
| *1808 | Available  | Silver |
| *1809 | Available  | Silver |
| *1810 | Available  | Silver |
| *1811 | Available  | Silver |
| *1812 | Available  | Silver |
| *1813 | Available  | Silver |
| *1814 | Available  | Silver |
| *1815 | Available  | Silver |
| *1816 | Available  | Silver |
| *1817 | Available  | Silver |
| *1818 | Available  | Platinum  |
| *1819 | Available  | Silver |
| *1820 | Available  | Silver |
| *1821 | Available  | Silver |
| *1822 | Available  | Silver |
| *1823 | Available  | Silver |
| *1824 | Available  | Silver |
| *1825 | Available  | Silver |
| *1826 | Available  | Silver |
| *1827 | Available  | Silver |
| *1828 | Available  | Silver |
| *1829 | Available  | Silver |
| *1830 | Available  | Silver |
| *1831 | Available  | Silver |
| *1832 | Available  | Silver |
| *1833 | Available  | Silver |
| *1834 | Available  | Silver |
| *1835 | Available  | Silver |
| *1836 | Available  | Silver |
| *1837 | Available  | Silver |
| *1838 | Available  | Silver |
| *1839 | Available  | Silver |
| *1840 | Available  | Silver |
| *1841 | Available  | Silver |
| *1842 | Available  | Silver |
| *1843 | Available  | Silver |
| *1844 | Available  | Silver |
| *1845 | Available  | Silver |
| *1846 | Available  | Silver |
| *1847 | Available  | Silver |
| *1848 | Available  | Silver |
| *1849 | Available  | Silver |
| *1850 | Available  | Silver |
| *1851 | Available  | Silver |
| *1852 | Available  | Silver |
| *1853 | Available  | Silver |
| *1854 | Available  | Silver |
| *1855 | Available  | Silver |
| *1856 | Available  | Silver |
| *1857 | Available  | Silver |
| *1858 | Available  | Silver |
| *1859 | Available  | Silver |
| *1860 | Available  | Silver |
| *1861 | Available  | Silver |
| *1862 | Available  | Silver |
| *1863 | Available  | Silver |
| *1864 | Available  | Silver |
| *1865 | Available  | Silver |
| *1866 | Available  | Silver |
| *1867 | Available  | Silver |
| *1868 | Available  | Silver |
| *1869 | Available  | Silver |
| *1870 | Available  | Silver |
| *1871 | Available  | Silver |
| *1872 | Available  | Silver |
| *1873 | Available  | Silver |
| *1874 | Available  | Silver |
| *1875 | Available  | Silver |
| *1876 | Available  | Silver |
| *1877 | Available  | Silver |
| *1878 | Available  | Silver |
| *1879 | Available  | Silver |
| *1880 | Available  | Silver |
| *1881 | Available  | Gold |
| *1882 | Available  | Silver |
| *1883 | Available  | Silver |
| *1884 | Available  | Silver |
| *1885 | Available  | Silver |
| *1886 | Available  | Silver |
| *1887 | Available  | Silver |
| *1888 | Available  | Platinum  |
| *1889 | Available  | Silver |
| *1890 | Available  | Silver |
| *1891 | Available  | Silver |
| *1892 | Available  | Silver |
| *1893 | Available  | Silver |
| *1894 | Available  | Silver |
| *1895 | Available  | Silver |
| *1896 | Available  | Silver |
| *1897 | Available  | Silver |
| *1898 | Available  | Silver |
| *1899 | Available  | Silver |
| *1900 | Available  | Platinum  |
| *1901 | Available  | Silver |
| *1902 | Available  | Silver |
| *1903 | Available  | Silver |
| *1904 | Available  | Silver |
| *1905 | Available  | Silver |
| *1906 | Available  | Silver |
| *1907 | Available  | Silver |
| *1908 | Available  | Silver |
| *1909 | Available  | Silver |
| *1910 | Available  | Silver |
| *1911 | Available  | Silver |
| *1912 | Available  | Silver |
| *1913 | Available  | Silver |
| *1914 | Available  | Silver |
| *1915 | Available  | Silver |
| *1916 | Available  | Silver |
| *1917 | Available  | Silver |
